Distancia,lnRitmoFluencia
0,-0.42617815
1,-0.685179011
2,-0.980829253
3,-1.258781041
4,-1.518683549
5,-1.760260802
6,-1.987774353
7,-2.207274913
8,-2.430418465
9,-2.63108916
10,-2.830217835
11,-3.036554268
12,-3.218875825
13,-3.411247718
14,-3.611918413
15,-3.772261063
16,-3.9633163
17,-4.135166557
18,-4.342805922
19,-4.605170186
20,-4.710530702
21,-4.96184513
22,-5.11599581
23,-5.298317367
24,-5.521460918
25,-5.80914299
26,-5.80914299
27,-6.214608098
28,-6.214608098
29,-6.907755279
30,-6.907755279
